@relation bearing_data1

@attribute sensor_0 numeric
@attribute sensor_1 numeric
@attribute sensor_2 numeric
@attribute sensor_3 numeric
@attribute sensor_4 numeric
@attribute sensor_5 numeric
@attribute sensor_6 numeric
@attribute sensor_7 numeric

@data
-0.094593,-0.09388,-0.093817,-0.093752,-0.090812,-0.090881,-0.090969,-0.094235
-0.094903,-0.093891,-0.09562,-0.095076,-0.091496,-0.092351,-0.09126,-0.087946
-0.096187,-0.095863,-0.096213,-0.096573,-0.093916,-0.09446,-0.092597,-0.093106
-0.095613,-0.095307,-0.095777,-0.095975,-0.092993,-0.092922,-0.093485,-0.093244
-0.095133,-0.095495,-0.095952,-0.095229,-0.093756,-0.093438,-0.092902,-0.09307
-0.095882,-0.095219,-0.094532,-0.094847,-0.092735,-0.093301,-0.104769,-0.093042
-0.095573,-0.094838,-0.095354,-0.095098,-0.093152,-0.092943,-0.018549,-0.092251
-0.095952,-0.095193,-0.094996,-0.09525,-0.093286,-0.093058,-0.099928,-0.092892
-0.095882,-0.095118,-0.096698,-0.096091,-0.094108,-0.093211,-0.056903,-0.092785
-0.094768,-0.094828,-0.094949,-0.095157,-0.093294,-0.0928,-0.079501,-0.092462
-0.095355,-0.095663,-0.094811,-0.094446,-0.093455,-0.094464,-0.115056,-0.092962
-0.095089,-0.095622,-0.094642,-0.095258,-0.093066,-0.094319,-0.077442,-0.092548
-0.094985,-0.095437,-0.094767,-0.095298,-0.092808,-0.093079,-0.091821,-0.092726
-0.095329,-0.095305,-0.095287,-0.095354,-0.094022,-0.094749,-0.091428,-0.093659
-0.095578,-0.095272,-0.094603,-0.0947,-0.093009,-0.09265,-0.091812,-0.092785
-0.095716,-0.095172,-0.094679,-0.095048,-0.092301,-0.091161,-0.092646,-0.092947
-0.095774,-0.095071,-0.09552,-0.09527,-0.093092,-0.093634,-0.093312,-0.091851
-0.095722,-0.095921,-0.095251,-0.095523,-0.093597,-0.093561,-0.094392,-0.092666
-0.094565,-0.09507,-0.095459,-0.095789,-0.092751,-0.093063,-0.092353,-0.092736
-0.096016,-0.09568,-0.09462,-0.094948,-0.09286,-0.09291,-0.015861,-0.092426
-0.095293,-0.094703,-0.095978,-0.096163,-0.092509,-0.092469,-0.092826,-0.092452
-0.095463,-0.095706,-0.094673,-0.094673,-0.092991,-0.092483,-0.092206,-0.093437
-0.094582,-0.095263,-0.095022,-0.094592,-0.092617,-0.093386,-0.089355,-0.092899
-0.094911,-0.095779,-0.094071,-0.094933,-0.092598,-0.092598,-0.132762,-0.093604
-0.093412,-0.093836,-0.094018,-0.094035,-0.092031,-0.091672,-0.229083,-0.092092
-0.094782,-0.094085,-0.095254,-0.094535,-0.09249,-0.092099,-0.084173,-0.097587
